scenario_name,game_name,run_profile,model_mode,condition_id,condition_label,agent_1_type,agent_2_type,personality_1,intensity_1,fixed_strategy_1,personality_2,intensity_2,fixed_strategy_2,episodes_n,total_payoff_1_mean,total_payoff_1_std,total_payoff_1_median,total_payoff_2_mean,total_payoff_2_std,total_payoff_2_median,pair_total_payoff_mean,pair_total_payoff_std,pair_total_payoff_median,avg_payoff_1_mean,avg_payoff_1_std,avg_payoff_1_median,avg_payoff_2_mean,avg_payoff_2_std,avg_payoff_2_median,avg_pair_payoff_mean,avg_pair_payoff_std,avg_pair_payoff_median,mean_overall_state_1_mean,mean_overall_state_1_std,mean_overall_state_1_median,mean_overall_state_2_mean,mean_overall_state_2_std,mean_overall_state_2_median,final_overall_state_1_mean,final_overall_state_1_std,final_overall_state_1_median,final_overall_state_2_mean,final_overall_state_2_std,final_overall_state_2_median,negative_state_share_1_mean,negative_state_share_1_std,negative_state_share_1_median,negative_state_share_2_mean,negative_state_share_2_std,negative_state_share_2_median,pd_cooperation_rate_1_mean,pd_cooperation_rate_1_std,pd_cooperation_rate_1_median,pd_cooperation_rate_2_mean,pd_cooperation_rate_2_std,pd_cooperation_rate_2_median,pd_mutual_cooperation_rate_mean,pd_mutual_cooperation_rate_std,pd_mutual_cooperation_rate_median,pd_unilateral_exploitation_rate_mean,pd_unilateral_exploitation_rate_std,pd_unilateral_exploitation_rate_median,pd_mutual_defection_rate_mean,pd_mutual_defection_rate_std,pd_mutual_defection_rate_median,pd_recovery_after_defection_proxy_mean,pd_recovery_after_defection_proxy_std,pd_recovery_after_defection_proxy_median,bos_agreement_rate_mean,bos_agreement_rate_std,bos_agreement_rate_median,bos_coordination_streak_mean_mean,bos_coordination_streak_mean_std,bos_coordination_streak_mean_median,bos_coordination_streak_max_mean,bos_coordination_streak_max_std,bos_coordination_streak_max_median,bos_coordination_imbalance_mean,bos_coordination_imbalance_std,bos_coordination_imbalance_median,bos_fair_turn_taking_index_mean,bos_fair_turn_taking_index_std,bos_fair_turn_taking_index_median,ug_acceptance_rate_mean,ug_acceptance_rate_std,ug_acceptance_rate_median,ug_mean_offer_mean,ug_mean_offer_std,ug_mean_offer_median,ug_offer_std_mean,ug_offer_std_std,ug_offer_std_median,ug_fair_offer_rate_mean,ug_fair_offer_rate_std,ug_fair_offer_rate_median,ug_proposer_responder_inequality_mean,ug_proposer_responder_inequality_std,ug_proposer_responder_inequality_median
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_001_Prisoners_Dilemma_emotional_rational_vs_always_cooperate,hybrid-neutral-neutral__vs__fixed-always_cooperate,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.24059729113124453,0.0,0.24059729113124453,0.24059729113124453,0.0,0.24059729113124453,0.25833245364368196,0.0,0.25833245364368196,0.25833245364368196,0.0,0.25833245364368196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,197.0,0.0,197.0,212.0,0.0,212.0,409.0,0.0,409.0,0.985,0.0,0.985,1.06,0.0,1.06,2.045,0.0,2.045,-0.6291093923079399,0.0,-0.6291093923079399,-0.5962267386862736,0.0,-0.5962267386862736,-0.6499999999999994,0.0,-0.6499999999999994,-0.6499999999999969,0.0,-0.6499999999999969,1.0,0.0,1.0,0.97,0.0,0.97,0.015,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.985,0.0,0.985,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_003_Prisoners_Dilemma_emotional_rational_vs_tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.24059729113124453,0.0,0.24059729113124453,0.24059729113124453,0.0,0.24059729113124453,0.25833245364368196,0.0,0.25833245364368196,0.25833245364368196,0.0,0.25833245364368196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.24059729113124453,0.0,0.24059729113124453,0.24059729113124453,0.0,0.24059729113124453,0.25833245364368196,0.0,0.25833245364368196,0.25833245364368196,0.0,0.25833245364368196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,195.0,0.0,195.0,220.0,0.0,220.0,415.0,0.0,415.0,0.975,0.0,0.975,1.1,0.0,1.1,2.075,0.0,2.075,-0.6329571129609495,0.0,-0.6329571129609495,-0.5780051793583433,0.0,-0.5780051793583433,-0.6499999999999998,0.0,-0.6499999999999998,-0.649999999999995,0.0,-0.649999999999995,1.0,0.0,1.0,0.95,0.0,0.95,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.975,0.0,0.975,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_006_Prisoners_Dilemma_emotional_vs_tit_for_tat,emotional-neutral-neutral__vs__fixed-tit_for_tat,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.24059729113124453,0.0,0.24059729113124453,0.24059729113124453,0.0,0.24059729113124453,0.25833245364368196,0.0,0.25833245364368196,0.25833245364368196,0.0,0.25833245364368196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_007_Prisoners_Dilemma_rational_vs_always_cooperate,rational__vs__fixed-always_cooperate,rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.7323522749348269,0.0,0.7323522749348269,-0.7323522749348269,0.0,-0.7323522749348269,0.749999999999998,0.0,0.749999999999998,-0.7499999999999981,0.0,-0.7499999999999981,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_008_Prisoners_Dilemma_rational_vs_always_defect,rational__vs__fixed-always_defect,rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,200.0,0.0,200.0,200.0,0.0,200.0,400.0,0.0,400.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,-0.6228399686098542,0.0,-0.6228399686098542,-0.6228399686098542,0.0,-0.6228399686098542,-0.6499999999999989,0.0,-0.6499999999999989,-0.6499999999999989,0.0,-0.6499999999999989,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,reported_runs_compat,S2_009_Prisoners_Dilemma_rational_vs_tit_for_tat,rational__vs__fixed-tit_for_tat,rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,204.0,0.0,204.0,199.0,0.0,199.0,403.0,0.0,403.0,1.02,0.0,1.02,0.995,0.0,0.995,2.015,0.0,2.015,-0.6140897775425893,0.0,-0.6140897775425893,-0.6249801626854559,0.0,-0.6249801626854559,-0.6499999999999984,0.0,-0.6499999999999984,-0.649999999999999,0.0,-0.649999999999999,0.99,0.0,0.99,1.0,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.995,0.0,0.995,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,reported_runs_compat,S2_010_Battle_of_Sexes_emotional_rational_vs_always_cooperate,hybrid-neutral-neutral__vs__fixed-always_cooperate,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,600.0,0.0,600.0,400.0,0.0,400.0,1000.0,0.0,1000.0,3.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,5.0,0.24059729113124453,0.0,0.24059729113124453,-0.2405972911312447,0.0,-0.2405972911312447,0.25833245364368196,0.0,0.25833245364368196,-0.2583324536436822,0.0,-0.2583324536436822,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,200.0,0.0,200.0,200.0,0.0,200.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,reported_runs_compat,S2_011_Battle_of_Sexes_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7323522749348269,0.0,-0.7323522749348269,-0.7323522749348269,0.0,-0.7323522749348269,-0.7499999999999981,0.0,-0.7499999999999981,-0.7499999999999981,0.0,-0.7499999999999981,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,reported_runs_compat,S2_012_Battle_of_Sexes_emotional_rational_vs_tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,400.0,0.0,400.0,1000.0,0.0,1000.0,3.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,5.0,0.24059729113124453,0.0,0.24059729113124453,-0.2405972911312447,0.0,-0.2405972911312447,0.25833245364368196,0.0,0.25833245364368196,-0.2583324536436822,0.0,-0.2583324536436822,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,200.0,0.0,200.0,200.0,0.0,200.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
