scenario_name,condition_id,condition_label,game_name,run_profile,episode_id,random_seed,agent_1_type,agent_2_type,fixed_strategy_2,metric_name,first_third_metric,last_third_metric,delta_metric,first_third_payoff_1,last_third_payoff_1,delta_payoff_1,simple_adaptation_lag_proxy
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,1,20260430,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,2,20260431,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,3,20260432,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,4,20260433,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,5,20260434,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,6,20260435,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,7,20260436,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,8,20260437,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,9,20260438,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,10,20260439,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,11,20260440,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,12,20260441,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,13,20260442,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,14,20260443,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,15,20260444,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,16,20260445,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,17,20260446,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,18,20260447,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,19,20260448,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_001_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_cooperate,hybrid-optimistic-low__vs__fixed-always_cooperate,Prisoners Dilemma,paper,20,20260449,emotional_rational,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S3,S3_002_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_defect,hybrid-optimistic-low__vs__fixed-always_defect,Prisoners Dilemma,paper,21,20260430,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.12121212121212122,-0.06060606060606061,54.0,58.0,4.0,1
S3,S3_002_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_defect,hybrid-optimistic-low__vs__fixed-always_defect,Prisoners Dilemma,paper,22,20260431,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.12121212121212122,-0.06060606060606061,54.0,58.0,4.0,1
S3,S3_002_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_defect,hybrid-optimistic-low__vs__fixed-always_defect,Prisoners Dilemma,paper,23,20260432,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.12121212121212122,-0.06060606060606061,54.0,58.0,4.0,1
S3,S3_002_Prisoners_Dilemma_emotional_rational_optimistic_low_vs_always_defect,hybrid-optimistic-low__vs__fixed-always_defect,Prisoners Dilemma,paper,24,20260433,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.12121212121212122,-0.06060606060606061,54.0,58.0,4.0,1
