scenario_name,game_name,run_profile,model_mode,condition_label,episodes_n,pair_total_payoff_mean,agent_1_payoff_mean,agent_2_payoff_mean,agent_1_mean_overall_state,agent_2_mean_overall_state,agent_1_negative_state_share,agent_2_negative_state_share,game_metric_name,game_metric_value,interpretation_guardrail
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-low__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-low__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-low__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-neutral__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-neutral__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-high__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-high__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-optimistic-high__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-low__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-low__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-low__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-high__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-high__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-neutral-high__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-pessimistic-low__vs__fixed-always_cooperate,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-pessimistic-low__vs__fixed-always_defect,20,409.0,197.0,212.0,-0.6291093923079399,-0.5962267386862736,1.0,0.97,mutual cooperation rate,0.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
S3,Prisoners Dilemma,paper,reported_runs_compat,hybrid-pessimistic-low__vs__fixed-tit_for_tat,20,1200.0,600.0,600.0,0.24059729113124453,0.24059729113124453,0.0,0.0,mutual cooperation rate,1.0,Descriptive result only. reported_runs_compat diagnostics reproduce v11 status boundaries; integrated_model results are new architecture outputs.
